business_id,name,category_id,category,address,latitude,longitude,tel,rating
cc33c7e5c3c549cb27c642a6,Burger King,13031,Burger Joint,"Sognsveien75, 0855 Oslo",59.948719,10.732777,22 18 48 31,
e269823ec0c7462dcb91af3b,Roar Lundebø,13032,"Cafe, Coffee, and Tea House","Sognsv 75, 0855 Oslo",59.948542,10.734143,22 18 48 31,
82467f7e11f24ea05eff50da,Bone's - Kenneth Jensen,13065,Restaurant,"Sognsveien 75, 0855 Oslo",59.948512,10.734323,,
e8a8cf8ca8c846b5feccd236,Baker Hansen,13002,Bakery,"Sognsveien 75, 0805 Oslo",59.948599,10.734309,940 23 232,
ed2e351a0561473d3f86362c,Heidi R Norgård,13065,Restaurant,"Burger King Sognsveien 75, 0855 Oslo",59.949138,10.73224,22 18 48 31,
9a909684d1784047d8eeaf96,Egon,13065,Restaurant,"Ullevål Stadion, 0855 Kristiansand",59.949454,10.736285,,
f3d28e674b3643294bfbcd74,Dag Hol,10000,Arts and Entertainment,"Nils Lauritssøns vei 26, 0854 Oslo",59.946976,10.73935,22 23 48 80,
01145b31c1024f5cb9520ae2,Naturgodt,13032,"Cafe, Coffee, and Tea House","Nils Bays vei 76, 0855 Oslo",59.951213,10.734674,,
d11d8396370447cefa981431,Chatchada,13032,"Cafe, Coffee, and Tea House","P. A. Munchs vei 14, 0870 Oslo",59.945276,10.744519,,
1646e95a48124321050d7265,Abel Revixit,13032,"Cafe, Coffee, and Tea House","Vestgrensa 2, 0851 Oslo",59.940784,10.729118,,
68952a32b22e4ae516e9ed71,Artemis,13065,Restaurant,"Gjennomfaret 9, 0876 Oslo",59.951489,10.746621,22 23 70 90,
a00bedf7bbec43691f175870,C Og M,13064,Pizzeria,"Tåsenveien 26, 0853 Oslo",59.943855,10.747657,22 18 18 20,
a544d7ef348c49c94a56d378,Nirmal Singh Restaurantdrift,13065,Restaurant,"Valkyriegata 11, 0366 Oslo",59.929123,10.717379,982 54 108,
4b23b3b1f964a5203e5824e3,Kaffe & Brød Disen,13034,Café,"Disenveien 31, 0587 Oslo",59.941586,10.795657,934 37 224,7.9
